algo_name,scenario,mean_eval,mean_tt_eval,mean_num_rejects,std_eval,std_tt_eval,std_rejects
LP,scenario1,266.4667893794688,264.20433130330923,113.66,4.611539216540947,4.486654933617388,2.9449957555147646
LP,scenario2,260.9531025670967,258.75059080676135,111.4,4.64746775507568,4.592491692724379,3.0356218473321093
LP,scenario3,273.4247494057912,271.30626881409387,115.9,3.2968789908140046,3.1722091952912517,2.0383817110639475
LP_heuristic,scenario1,316.57754376072415,314.645069494758,82.2,2.121197626270395,2.0783711066807,1.4628738838327804,
LP_heuristic,scenario2,316.5263231374497,314.4529237753343,77.32,2.098015571267927,2.0664845430765264,1.2577758146824103,
LP_heuristic,scenario3,322.7049812625988,320.5510879101067,85.42,1.1413697794581303,1.1116147943036498,0.8927485648266258,
greedy,scenario1,261.3010473250719,260.9657194862454,123.8,3.8007869236872667,3.8329893917953655,2.588435821108957
greedy,scenario2,249.70782363370523,249.3643032140401,125.6,4.745184219676263,4.840148481143911,3.1304951684997055
greedy,scenario3,267.6809925781472,267.21207456557033,127,5.659582137123469,5.483399651039374,3.7416573867739413
LP,avg,266.94821378411893,264.7537303080548,113.65333333333334,6.249745659650802,6.29584323230534,2.250007407395214
LP_heuristic,avg,318.6029493869242,316.549693726733,81.64666666666666,3.5525561247994095,3.466640528296209,4.0782512592204725
greedy,avg,259.56328784564147,259.1806990886186,125.46666666666667,9.111726317368522,9.056790762686509,1.6041612554021298
